Title,Credit Hour,level,Equivalent Courses,outlines
Assembly Language Programming (CS207),Credit Hours: 3,Course Level: Sophomore,"Equivalent Courses: Discrete Mathematics (MT209), Discrete Structures (MT217)","Objectives and Perspectives of Assembly Language, Microprocessor Bus Structure: Address, Data and Control, Memory Organization and Structure (Segmented and Linear Models), Addressing Modes, Introduction to the Assembler and Debugger, Introduction to Registers and Flags, Data Movement, Arithmetic and Logic, Program Control, Subroutines, Stack and its operation, Peripheral Control Interrupts, Interfacing with high level languages, Real‑time applications."
Assembly Language Programming (CS208),Credit Hours: 4,Course Level: Sophomore,Equivalent Courses: Software Engineering (CS304),"Logic, relations, functions, basic set theory, counting, proof techniques, mathematical induction, graph theory, discrete probability, recursion, recurrence relations, and number theory. All the topics will be taught in perspective of their applications in computing."
Discrete Structures (CS211),Credit Hours: 3,Course Level: Junior,Equivalent Courses: Software Engineering (CS303)," Introduction to formal languages and the theory of computation, finite automata, pushdown automata, turing machine. Regular, context-free, and recursively enumerable languages. Equivalance between regular grammars and finite automata, and between context free grammars and pushdown automata. Introduction totransducers, variations of turing machines, universal turing machines and cholmsky’s hierarchy."
Theory of Automata (CS301),Credit Hours: 3,Course Level: Junior,"Equivalent Courses: Computer Communication (CS306), Computer Networks (CS314), Data Communication & Networks (EE311), Data Communication & Networks (EE317), Data Communication (EE301)"," Introduction of fundamental techniques for designing and analyzing algorithms, including asymptoticanalysis, divide-and-conquer algorithms and recurrences, greedy algorithms, string matching algorithms,dynamicprogramming, graph algorithms, Introduction to NP-complete Problems"
Design & Analysis of Algorithms (CS302),Credit Hours: 3,Course Level: Junior,"Equivalent Courses: Computer Communication (CS305), Computer Networks (CS314), Data Communication & Networks (EE311), Data Communication & Networks (EE317), Data Communication (EE301)"," Introduction to engineering concepts, software engineering concepts including requirements engineering, software process models, process improvement, software architecture, software project planning, cost estimation, software testing, and quality assurance."
Software Engineering (CS303),Credit Hours: 3,Course Level: Junior,"Equivalent Courses: Object Oriented Analysis & Design (CS308), Object Oriented Analysis & Design (CS313)","Introduction to Computer‑based System Engineering; Project Management; Software Specification; Requirements Engineering, System Modeling; Requirements Specifications; Software Prototyping; Software Design: Architectural Design, Object‑Oriented Design, Function‑Oriented Design, User Interface Design; Quality Assurance; Processes & Configuration Management; Introduction to advanced issues: Reusability, Patterns;  Assignments and projects on various stages and deliverables of SDLC."
Software Engineering (CS304),Credit Hours: 4,Course Level: Junior,"Equivalent Courses: Object Oriented Analysis & Design (CS308), Object Oriented Analysis & Design (CS309)","Analog and digital Transmission, Noise, Media, Encoding, Asynchronous and Synchronous transmission, Protocol design issues. Network system architectures (OSI, TCP /IP), Error Control, Flow Control, Data Link Protocols (HDLC, PPP). Local Area Networks and MAC Layer protocols (Ethernet, Token ring), Multiplexing, Switched and IP Networks, Inter‑networking, Routing, Bridging, Transport layer protocols TCP/IP, UDP. Network security issues.Programming exercises or projects involving implementation of protocols at different layers."
Computer Communication (CS305),Credit Hours: 3,Course Level: Junior,"Equivalent Courses: Computer Communication (CS305), Computer Communication (CS306), Data Communication & Networks (EE311), Data Communication & Networks (EE317), Data Communication (EE301)","Analog and digital Transmission, Noise, Media, Encoding, Asynchronous and Synchronous transmission, Protocol design issues. Network system architectures (OSI, TCP /IP), Error Control, Flow Control, Data Link Protocols (HDLC, PPP). Local Area Networks and MAC Layer protocols (Ethernet, Token ring), Multiplexing, Switched and IP Networks, Inter‑networking, Routing, Bridging, Transport layer protocols TCP/IP, UDP. Network security issues.Programming exercises or projects involving implementation of protocols at different layers."
Computer Communication (CS306),Credit Hours: 4,Course Level: Junior,"Equivalent Courses: Project ‑ I (CS490), Project ‑ I (CS491), Project ‑ I (EE482), Software Project (CS391)","Basic computer and communication networking technologies, concepts of layering, routing, congestion control, and medium access control, basics of wireless and mobile networks."
Computer Networks (CS307),Credit Hours: 3 + 1,Course Level: Junior,"Equivalent Courses: Project ‑ I (CS490), Project ‑ I (CS491), Project ‑ I (EE482), Software Project (CS390)"," Introduction to the basic concepts of the object oriented paradigm, elicitation of requirements through use cases, identification of domain concepts through domain model, selection of classes and assigning roles and responsibilities to various classes, identification of relationships among them,andtheir realization to implement systems."
Object Oriented Analysis & Design (CS309),Credit Hours: 3 + 1,Course Level: Junior,Equivalent Courses: Compiler Construction (CS403),"This course would prepare students for their Professional Career by nurturing in them the capabilities of understanding Information Intensive Organizations and the importance of accurate, relevant and timely information for these organizations. Management Information Systems aims to provide students with an understanding and appreciation for the importance of Information systems and technology for sustained success of an organization. The focus will be on how Information Systems impact business strategy and how more value can be derived through its proper use. The risks and common pitfalls of IS implementations will also be covered. Students will develop skills to analyze and evaluate real world issues related to Information Systems and make recommendations for the solutions of problems faced by various organizations."
Management Information Systems (CS310),Credit Hours: 3,Course Level: Junior,Equivalent Courses: Compiler Construction (CS402)," First part of the course introduces fundamental techniques for designing and analyzing algorithms, including asymptotic analysis, divide-and-conquer algorithms and recurrences, greedy algorithms, string matching algorithms. Second part of this course emphasizes on writing a program of reasonable size and complexity. Devising a solution of a problem will be encouraged and converting a design into a computer program would be stressed upon. OOP concepts will be covered in detail."
Management Information Systems Lab (CL310),Credit Hours: 1,Course Level: Junior,Equivalent Courses: Network Programming (CS405),"Introduction, Segmentation, Feature Extraction, Classification, Post Processing."
Applied Algorithms &Prog. Techniques (CS311),Credit Hours: 3,Course Level: Junior,Equivalent Courses: Network Programming (CS404),"Key concepts of Object Orientation, Identifying and capturing requirements for OO systems using Use Cases, Understanding the problem using Domain Model, assigning responsibilities to objects using operation contracts, Modeling and designing dynamic system behavior through system sequence diagrams, interaction diagrams (sequence diagrams and communication diagrams), representing software system using Class diagram. Understanding software design patterns and creating better software architecture through Gang of Four Patterns."
Character & Pattern Recognition (CS312),Credit Hours: 3,Course Level: Junior,"Equivalent Courses: Data Warehousing & Data Mining (CS409), Data Warehousing & Data Mining (CS439)"," Basic computer and communication networking technologies,concepts of layering, routing, congestion control, and medium access control,basics of wireless and mobile networks."
Object Oriented Analysis & Design (CS313),Credit Hours: 4,Course Level: Junior,"Equivalent Courses: Data Warehousing & Data Mining (CS439), Data Warehousing (CS408)","Biotechnology, an interdisciplinary pursuit, historical perspective and application, traditional biotechnology and modern biotechnology, Nature of organic matter and review of organic reactions mechanisms, chemical structure and biological function, properties of water and aqueous solution, Pre‑biotic molecular evolution and origin of life, a review of the variety and ecology of the living world, biochemical basis of structural and functional variation in the living beings, evolution."
Computer Networks (CS314),Credit Hours: 4,Course Level: Junior,"Equivalent Courses: Computer Graphics & HCI (CS420), Computer Graphics (CS419)"," Introduction to standard concepts in information retrieval, indexing and various retrieval methods, information retrieval evaluation, compression, metasearch, machine learning for IR, collaborative filtering clustering, spam filtering, news filtering, topic detection and tracking"
Biotechnology (CS315),Credit Hours: 3,Course Level: Junior,"Equivalent Courses: Computer Graphics & HCI (CS420), Computer Graphics (CS418)","Overview and Introduction, Web Technologies, Structured Data (XML and JSON), Content Syndication, Scripting, Security, Introduction to Distributed Systems, Distributed Web Architecture, State Management, SOAP, REST, Web Architecture, Semantic Web, Web Services, Server Side Technologies, Developing Applications for Mobile Platform, Working with APIs, Introduction to the Cloud, Building applications on the Cloud, Cloud based Mobile Applications"
Information Retrieval (CS317),Credit Hours: 3,Course Level: Junior,Equivalent Courses: International Business (MG307)," First part of the course introduces fundamental techniques for designing and analyzing algorithms, including asymptotic analysis, divide-and-conquer algorithms and recurrences, greedy algorithms, string matching algorithms. Second part of this course emphasizes on writing a program of reasonable size and complexity. Devising a solution of a problem will be encouraged and converting a design into a computer program would be stressed upon. OOP concepts will be covered in detail."
Internet Software Architecture (CS318),Credit Hours: 3,Course Level: Junior,"Equivalent Courses: Data Warehousing & Data Mining (CS409), Data Warehousing (CS408)",
Applied Programming (CS319),Credit Hours: 3,Course Level: Junior,"Equivalent Courses: Project ‑ I (CS491), Project ‑ I (EE482), Software Project (CS390), Software Project (CS391)",
Internship (CS381),Credit Hours: 3,Course Level: Junior,"Equivalent Courses: Project ‑ I (CS490), Project ‑ I (EE482), Software Project (CS390), Software Project (CS391)",
Research Paper (CS382),Credit Hours:1,Course Level: Junior,Equivalent Courses: Information Systems Security (CS446),
Software Project (CS390),Credit Hours: 4,Course Level: Senior,Equivalent Courses: Software Processes & QA (CS514)," Introduction to AI, Problem Solving, Probability in AI, Probabilistic Inference, Machine Learning (Supervised/Unsupervised), Representation with Logic, Planning, HMMs and Filters, Game Theory, Applications of AI in Computer Vision, Robotics, Natural Language Processing."
Software Project (CS391),Credit Hours:5,Course Level: Senior,Equivalent Courses: Software Processes (CS513)," Introduction, Lexical Analysis, Parsing, Syntax-Directed Translation, Type Checking, Intermediate Code Generation, Run-Time Organization, Code Generation, Optimization"
Artificial Intelligence (CS401),Credit Hours: 3,Course Level: Senior,Equivalent Courses: Software Process Management & Metrics (CS563),"Introduction to Compiler; A very simple compiler; Lexical Analysis; Syntax Analysis and Parsing techniques; Syntax‑Directed Translation; Type Checking; Run‑Time Environments; Intermediate Code Generation, code optimization.  Students are required to build a limited structured language compiler."
Compiler Construction (CS402),Credit Hours: 3,Course Level: Senior,Equivalent Courses: Software QA & Management (CS519),"Layered protocols models for computer communication networks. CCITT and ISO protocols standards in support of OSI.Proprietary communication architectures.TCP/IP, SNA, and DNA.Protocols for LANs and ISDN. Wide‑area switched and packet‑switched data communication networks. Subscriber access arrangements and subscriber signaling systems.Network management, services, and performance. IEEE protocols standards. FDDI; narrowband and broadband integrated services digital networks."
Compiler Construction (CS403),Credit Hours: 4,Course Level: Senior,Equivalent Courses: Software Quality Assurance (CS518),"Layer design of computer networks and Protocol design issues. Data link protocols (PPP). MAC Layer protocols (Ethernet, Token bus and Token ring), Multiplexing, Switched Networks, Inter‑networking, Routing, Bridging, Transport layer protocols TCP/IP, UDP. Application Layer protocols HTTP, LDAP, E‑mail etc. Programming exercise for CRC, Framing, bit stuffing. Sockets Programming, Remote Procedure Calling (RPC), SunRPC and its Application using Linux, Java RMI, Introduction to Distributed Computing, client serve and peer to peer architectures and interaction mechanisms."
Network Programming (CS404),Credit Hours: 3,Course Level: Senior,Equivalent Courses: Multimedia Communications (EE544)," Microsoft Dot Net platform and technologies such as ASP.Net, C#, Ado.Net, LINQ, XML, Web Services, EMF, WCF, WPF etc."
Network Programming (CS405),Credit Hours: 4,Course Level: Senior,Equivalent Courses: Mathematical Methods (MT508),"This course covers fundamental techniques in design and operation of first, second, and third generation wireless networks: cellular systems, medium access techniques, radio propagation models, error control techniques, handoff, power control, common air protocols (AMPS, IS‑95, IS‑136, GSM, GPRS, EDGE, WCDMA, cdma2000, etc), radio resource and network management. As an example for the third generation air interfaces, WCDMA is discussed in detail since it is expected to have a large impact on future wireless networks. This course is intended for graduate students who have some background on computer networks."
Web Programming (CS406),Credit Hours: 3,Course Level: Senior,Equivalent Courses: High Performance Computational Methods (EE520),"Introduction to Data Warehousing, Modeling and Design, Extract Transform Load - ETL, De-Normalization, Dimensional Modeling, Online Analytical Processing (OLAP), Parallelism and Conventional Indexing, Special Indexing & Joining Techniques, Data Quality Management and Data Duplication Elimination, DW Lifecycle & Methodologies"
Wireless Networks (CS407),Credit Hours: 3,Course Level: Senior,Equivalent Courses: Software Process Management (CS515),"Features of a data warehouse. Transformation Process.Multidimensional queries. Data warehousing job functions. Data warehousing operations: Hash join processing, Bitmapped indexes, star queries, parallel processing, read‑ahead mechanisms. Data Mining: Benefits. Data Mining Techniques: Association, discovery, classification, clustering. Data Marts: Stand along data marts, subset data marts, multidimensional database. Queries against data mart.Data Mining Tools."
Data Warehousing (CS408),Credit Hours: 3,Course Level: Senior,Equivalent Courses: Research/Industry Survey (EE580)," E-commerce business models and concepts, Business, Marketing,and financial Plans.Real-world M-commerce applications, Secure payment methodologies."
Data Warehousing & Data Mining (CS409),Credit Hours: 4,Course Level: Senior,"Equivalent Courses: MS Thesis ‑ I (CS591), MS Thesis ‑ I (MT591)"," Introduction to computer security principles: authentication, authorization, integrity, Cryptography, OS security issues and vulnerabilities, security requirements at different layers of the TCP/IP stack, Web Security issues: Buffer overflow, SQL injection, CSRF, and XSS"
E‑Commerce (CS410),Credit Hours: 3,Course Level: Senior,"Equivalent Courses: MS Thesis (CS590), MS Thesis ‑ I (MT591)","This is an advanced course in networks and protocols. Analytical, simulation and experimental methods should be used to evaluate and design networks and protocols; Investigate network management tools and techniques."
Network Security (CS411),Credit Hours: 3,Course Level: Senior,Equivalent Courses: MS Thesis ‑ II (MT592)," Introduction to Remote Sensing and Geographical Information Systems, Geographic Approach, Spatial Data Modeling, Photogrammetry, Global Positioning and Georeferencing Systems, Map Projections, Geo-Spatial Analysis, Location Based Services, Spatial Data Infrastructure, Spatial Decision Support Systems"
Optimization & Network Performance (CS412),Credit Hours: 4,Course Level: Senior,"Equivalent Courses: MS Dissertation (EE597), MS Dissertation (MG597), MS Dissertation (MT597)","Introduction to Distributed Computing. Architectures and interaction mechanisms.Remote Procedure Calling (RPC).SunRPC and its application using Linux.Distributed Object Technology (DOT).Java RMI.CORBA using Java as Programming Language.Knowledge representation issues.XML and SOAP.Service Description, Advertisement and Discovery. Load balancing. Transaction management. Fault Tolerance and Recovery Mechanisms. Agent Theory."
Remote Sensing & GIS (CS413),Credit Hours: 3,Course Level: Senior,Equivalent Courses: Business Ethics (MG324),"Definitions, standards. conventional cryptography, public‑key cryptography, confidentiality, integrity, authentication, digital signatures, network security, email security, IP security, system security, viruses, firewalls."
Parallel and Distributed Computing (CS416),Credit Hours: 3,Course Level: Senior,Equivalent Courses: Embedded Systems Lab (EL410)," Introduction, maths for computer graphics, transformations (2 & 3D transformations, orthographic and perspective projections, viewing transformation, etc.), graphics pipeline, introduction to OpenGL (version > 3.1), Graphics Library Shading Language (GLSL) and WebGL, vertex and fragment shaders, curves and surfaces, model representation (triangular/polygonal meshes and tessellation), hierarchical modeling and scene graphs, Illumination and Shading (light sources, illumination models: Phong and Blinn-Phong, shading: flat, Gouraud, and Phong shading), texture Mapping, ray tracing, collision detection."
Cryptography & Data Security (CS417),Credit Hours: 3,Course Level: Senior,Equivalent Courses: Advanced Fluid Mechanics ‑ Lab (VL321),"Introduction, Mathematics for computer graphics, transformations (2 & 3D transformations, orthographic and perspective projections, viewing transformation, etc.), graphics pipeline, introduction to OpenGL (version > 3.1), Graphics Library Shading Language (GLSL) and WebGL, vertex and fragment shaders, curves and surfaces, model representation (triangular/polygonal meshes and tessellation), hierarchical modeling and scene graphs, Illumination and Shading (light sources, illumination models: Phong and Blinn-Phong, shading: flat, Gouraud, and Phong shading), texture Mapping, ray tracing, collision detection."
Computer Graphics (CS418),Credit Hours: 3,Course Level: Senior,"Equivalent Courses: Computer Applications (CS109), Introduction to Computer Science (CS102), Introduction to Computing (CS101), IT in Business (CS111), Programming for Engineers ‑ I (CS112)","Introduction to Simulation and Modeling, Discrete‑Event Simulation, Simulation of a Single‑Server Queueing System, Alternative Approaches to Modeling and Simulations; Review of Basic Probability and Statistics; Estimation of Means, Variances, and Correlations, Confidence Intervals and Hypothesis Tests for the Mean, The Laws of Large Numbers; Random number generators; Simulation of discrete, continuous probability distributions and  empirical distributions; tests on simulated distributions, rejection method, simulation of multivariate distributions, correlations, and stochastic processes, simulation of  models of arrival processes, Poisson Processes, Non-stationary Poisson Processes, Batch Arrivals, tests on generators, Markov‑ Chain Monte‑Carlo simulations; Variance‑Reduction Techniques."
Computer Graphics (CS419),Credit Hours: 4,Course Level: Senior,"Equivalent Courses: Computer Programming (CS103), Computer Programming (CS104), Object‑ Oriented Programming (CS105), Object‑ Oriented Programming (CS106), Programming for Engineers ‑ II (CS113)"," Introduction to HCI and Interaction Design Basics, HCI in software Process/Usability Engineering, Design Rules, Implementation support, Evaluation Techniques, Universal design, Hierarchical Task Analysis, Universal Design/User Support, Cognitive, Communication & Collaboration Models, Task analysis Groupware and CSCW."
Computer Modeling & Simulation (CS421),Credit Hours: 3,Course Level: Senior,"Equivalent Courses: Electronic Devices &amp; Circuits (EE202), Electronics ‑ I (EE214)","COBOL structured programming; Sequential, indexed sequential, random file organization and handling; On‑line retrieval systems, sorting, searching, report writing and advanced pro‑gramming applications of MIS on IBM AS/400; RPG II program cycle; Program logic, specifications; Multiprocessing; Table and arrays autoreport; Workstation file considerations; Advanced programming considerations; MIS programming assignments."
Human Computer Interaction (CS422),Credit Hours: 3,Course Level: Senior,"Equivalent Courses: Electronic Circuit Design (EE224), Electronics ‑ II (EE210)","Continuation of data structures covering file structures and databases; Random, indexed sequential, inverted and multilist file structures; Concept of data models, data security integrity; Organization, storage search and retrieval method of hierarchical, network and relational data models. Practical exercises and project assignments using SQL."
Information Processing Techniques (CS423),Credit Hours: 3,Course Level: Senior,"Equivalent Courses: Computer Organization &amp; Architecture (EE207), Computer Organization &amp; Architecture (EE215)","General information; Data processing and computers; Functions of computer center job definitions, selection and upgrading of computers, operations of computer centers, priority, pricing and performance schemes: Maintenance and security; Control methods of operation processing."
Information System Analysis (CS424),Credit Hours: 3,Course Level: Senior,"Equivalent Courses: Assembly Language Programming (CS207), Assembly Language Programming (CS208), Comp. Organization &amp; Assembly Lang. (EE218)"," Introduction to advanced topics in distributed computing and the services provided by distributed operating systems.Naming, security, remote procedure call, concurrency, transactions, parallel computing, shared memory, message passing, fault-tolerance, and scalability"
Computer Center Planning & Op. (CS426),Credit Hours: 3,Course Level: Senior,"Equivalent Courses: Electronic Devices &amp; Circuits (EE202), Electronics ‑ I (EE201)Electronic Devices & Circuits (EE225)"," Basic data miningconcepts,Data Pre-processing, Association Rule Mining, Associative Classification, Pattern Classification, Performance Measures, Clustering, Feature Selection, Web Mining, and Search Engines."
Concurrent & Distributed Systems (CS428),Credit Hours: 3,Course Level: Senior,"Equivalent Courses: Basic Electrical Engineering (EE104), Basic Electrical Engineering (EE111)"," Component oriented, network centric and distributed computing withJava J2SE and J2EE technologies such as Servlets, JSPs, EJBs, various Web and Persistence frameworks, etc."
Data Mining (CS429),Credit Hours: 3,Course Level: Senior,"Equivalent Courses: Circuit Analysis (EE205), Circuit Analysis (EE212)","Multimedia database systems, multimedia datamining, applications in solving real problems."
Advanced Programming (CS433),Credit Hours: 3,Course Level: Senior,Equivalent Courses: Signals &amp; Systems (EE223)," Behaviour genetics, personality and its measurement, reactions to being in emotional state, stress, health and coping, management of adolescence. Problems, aggression and violence, health impairing styles, stressand its effect on health, promotion of physical and emotional wellbeing, method and coping skills, environmental and coping skills, environmental and sports psychology."
Multimedia Database Systems (CS435),Credit Hours: 3,Course Level: Senior,"Equivalent Courses: Electronics ‑ II (EE203), Electronics ‑ II (EE210)","The course is designed to stimulate curiosity about business particles of companies, large and small, seeking marketing opportunities outside the home country and to raise the students’consciousness about the importance of international business management strategies from a global perspective."
Behavioural Management (CS436),Credit Hours: 3,Course Level: Senior,"Equivalent Courses: Electronics ‑ I (EE201), Electronics ‑ I (EE214)","Features of a data warehouse. Transformation Process.Multidimensional queries. Data warehousing job functions. Data warehousing operations: Hash join processing, Bitmapped indexes, star queries, parallel processing, read‑ahead mechanisms. Data Mining: Benefits. Data Mining Techniques: Association, discovery, classification, clustering. Data Marts: Stand along data marts, subset data marts, multidimensional database. Queries against data mart.Data Mining Tools."
Global Business ‑ Trends & Issues (CS437),Credit Hours: 3,Course Level: Senior,"Equivalent Courses: Computer Logic Design (EE106), Digital Logic Design (EE109)","This course looks at the quickly developing landscape of mobile applications. It focuses on Web‑based mobile applications, and thus covers issues of Web service design (RESTful service design), mobile platforms (iPhone, Android, etc), and the specific constraints and requirements of user interface design for limited devices. The course combines a conceptual overview, design issues, and practical development issues. It also covers major programming methodologies and techniques used in modern web."
Data Warehousing & Data Mining (CS439),Credit Hours: 3,Course Level: Senior,Equivalent Courses: Digital Signal Processing (EE312),"Usability Engineering (UE) is a structured approach towards developing usable user interface designs. UE helps integrate human‑computer interaction (HCI) requirements and designs approaches, within the development projects managed by the software engineering (SE) methodologies. This course focuses on the needs of the users and their tasks, which are at the heart of all systems development. It demonstrates how Requirements Engineering can be applied to engineering usable systems. While it does not deal with the technical issues (such as program or database design and construction) it provides clear linkages to those SE activities, which also fit into the same overall life cycle. In addition to providing students with an advanced understanding if UE ans RE, this course introduces them to a variety of significant international standards in the fields of Software Engineering, Ergonomics and HCI. The course also focuses on Usability evaluation techniques, usability testing and techniques for designing universal and diverse accessibility systems."
Software for Mobile Devices (CS440),Credit Hours: 3,Course Level: Senior,Equivalent Courses: µP Interfacing &amp; Programming (EE303)," Fundamentals of an Enterprise. Introduction to Enterprise Resource Planning (ERP).ERP Implementation life cycle methodologies and strategy. Business processes, architecture and their modeling. ERP Security, workflows, data integration, applications migration and data migration. Study of business modules Human Resource, Procurement, Sales and Distribution, and Manufacturing. Concepts and tools of designing and implementing an ERP system. Emerging trends in ERP and special topics related to enhancement of business processes"
